"","Row.Names","Intercept_ranef_fixef_estimate_answer","Slope_ranef_fixef_estimate_answer"
"1","1_Michael",-0.81,0.06
"2","1_Oliver",-0.59,0.02
"3","10_andersweile",0.35,0.05
"4","10_simonmoller",0.25,0
"5","11_andersweile",0.52,0.06
"6","11_Matilde",0.25,0.02
"7","12_simonmoller",0.24,0.09
"8","12_Telma",0.27,0.1
"9","13_Malte",0.01,0.06
"10","13_Sara",-0.34,0.06
"11","14_kenneth",-0.56,0
"12","14_signekirk",0.82,0.08
"13","15_kenneth",0.12,0.05
"14","15_Malte",-0.22,0.04
"15","16_Sara",-0.72,0.07
"16","16_signekirk",0.48,0.06
"17","17_Fred",-0.27,0.06
"18","17_seb",0.62,0.07
"19","18_Ida",0.09,0.09
"20","18_SigneR",-0.47,0.04
"21","19_seb",0.66,0.13
"22","19_SigneR",0.17,0.08
"23","2_Britta",-0.52,0.02
"24","2_Oliver",-0.09,0.05
"25","20_Fred",-0.3,0.09
"26","20_Ida",-0.37,0.06
"27","21_laura",-0.21,-0.01
"28","21_Toby",-0.17,0.08
"29","22_Karoline",-0.75,0.05
"30","22_Lasse",0.99,0.15
"31","23_Karoline",-0.08,0.07
"32","23_laura",-0.27,0.04
"33","24_Lasse",0.14,0.12
"34","24_Toby",-0.87,0.11
"35","25_Amalie",0.32,0.06
"36","25_Esben",-0.13,-0.02
"37","26_Astrid",-0.51,0.02
"38","26_Simon",0.24,0.04
"39","27_Esben",-0.19,-0.02
"40","27_Simon",0.49,0.05
"41","28_Amalie",0.24,0.06
"42","28_Astrid",-0.15,0.05
"43","29_Emma",-0.22,0.05
"44","29_Theasmom",1.1,0.1
"45","3_Britta",-0.62,0.08
"46","3_Katrine",0.42,0.06
"47","30_Jan",-0.32,0.03
"48","30_John",-0.19,-0.02
"49","31_Emma",-0.95,0.06
"50","31_Jan",0.52,0.06
"51","32_John",-0.44,-0.01
"52","32_Theasmom",0.61,0.07
"53","33_Ane",0.64,0.07
"54","33_Laurits",0.28,0.04
"55","34_Magnus",0.17,0.04
"56","34_Nanna",0.02,0.07
"57","35_Laurits",0.39,0.08
"58","35_Magnus",-0.24,0.11
"59","36_Ane",0.83,0.07
"60","36_Nanna",-0.14,0.08
"61","37_andersh",0.13,0.02
"62","37_larsk",0.44,0.11
"63","38_annas",-0.38,0.05
"64","38_anneed",0.81,0.09
"65","39_annas",-0.23,0.09
"66","39_larsk",1.05,0.09
"67","4_Katrine",-0.19,0.07
"68","4_Michael",-1.06,0.03
"69","40_andersh",-0.59,0.04
"70","40_anneed",1.13,0.1
"71","5_mikkel",0.18,0.15
"72","5_stephanie",-0.56,0.07
"73","6_emil",0.58,0.05
"74","6_nina",1.06,0.08
"75","7_nina",1.01,0.12
"76","7_stephanie",-0.65,0.06
"77","8_emil",0.47,0.04
"78","8_mikkel",-0.09,0.07
"79","9_Matilde",0.25,0.08
"80","9_Telma",-0.08,0.08
